"An error occurs geting payments.","An error occurs geting payments."
"Bank","Bank"
"Credit Card","Credit Card"
"Detailed Information","Detailed Information"
"For Use ""Hd_Bccp"" as Payment Source declare the method model... you must.","For Use ""Hd_Bccp"" as Payment Source declare the method model... you must."
"Invalid Parameters","Invalid Parameters"
"Invalid Payment Method","Invalid Payment Method"
"Invalid Payment Plan.","Invalid Payment Plan."
"Loading Payments...","Loading Payments..."
"Payments","Payments"
"Payment Surcharge","Payment Surcharge"
"Select Bank","Select Bank"
"Select Credit Card","Select Credit Card"
"Select Payment Plan","Select Payment Plan"
"Select Payments","Select Payments"
"%s payment of %s. ","%s payment of %s. "
"%s payments of %s. ","%s payments of %s. "
"(Surcharge %s)","(Surcharge %s)"
"The Payment Method ""%s"", is not supported","The Payment Method ""%s"", is not supported"
"Undefined Payment Method","Undefined Payment Method"
"Coefficient","Coefficient"
"TNA","TNA"
"TEM","TEM"
"Action","Action"
"Delete Payment","Delete Payment"
"Delete","Delete"
"Asigned Credit Cards","Asigned Credit Cards"
"Credit Cards","Credit Cards"
"Credit Card Relations","Credit Card Relations"
"Bank Information","Bank Information"
"Name","Name"
"Description","Description"
"Countries","Countries"
"Bank Codes Mapping","Bank Codes Mapping"
"""%s"" Code For %s","""%s"" Code For %s"
"Manage Banks","Manage Banks"
"Credit Cards","Credit Cards"
"Save Bank","Save Bank"
"Delete Bank","Delete Bank"
"Save and Continue Edit","Save and Continue Edit"
"Editing Bank ""%s""","Editing Bank ""%s"""
"New Bank","New Bank"
"Add New Bank","Add New Bank"
"Credit Card Information","Credit Card Information"
"Credit Card Mapping Codes For %s","Credit Card Mapping Codes For %s"
"""%s"" Code For %s (%s)","""%s"" Code For %s (%s)"
"Credit Card Codes Mapping","Credit Card Codes Mapping"
"""%s"" Code For %s","""%s"" Code For %s"
"Add Payment","Add Payment"
"Credit Card Payments Configuration - Default Values","Credit Card Payments Configuration - Default Values"
"Payments","Payments"
"Credit Card Payments Configuration","Credit Card Payments Configuration"
"Credit Card Payments Configuration For %s","Credit Card Payments Configuration For %s"
"Available Payments For %s","Available Payments For %s"
"Manage Credit Cards","Manage Credit Cards"
"Credit Card Information","Credit Card Information"
"Save Credit Card","Save Credit Card"
"Delete Credit Card","Delete Credit Card"
"Editing Credit Card ""%s"" (ID: %s)","Editing Credit Card ""%s"" (ID: %s)"
"New Credit Card","New Credit Card"
"Credit Card ID","Credit Card ID"
"Credit Card Name","Credit Card Name"
"Credit Card Description","Credit Card Description"
"Country","Country"
"The %s ""%s"" was successfully saved.","The %s ""%s"" was successfully saved."
"The %s ""%s"" was successfully removed.","The %s ""%s"" was successfully removed."
"Manage Payments","Manage Payments"
"Requested %s no longer exists.","Requested %s no longer exists."
"-- Unsopported Credit Card --","-- Unsopported Credit Card --"
"-- Please Select --","-- Please Select --"
"-- Unsopported Country --","-- Unsopported Country --"
"-- Unsopported Bank --","-- Unsopported Bank --"
"Duplicated Combination ""Credit Card / Country / Payments"" for ""%s / %s / %s""","Duplicated Combination ""Credit Card / Country / Payments"" for ""%s / %s / %s"""
"Default","Default"
"All Countries","All Countries"
"Add New Credit Card","Add New Credit Card"
"Payment Options","Payment Options"
"Countries Configuration","Countries Configuration"
"Enable Support for multiple Countries","Enable Support for multiple Countries"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payments Management","Payments Management"
"Banks","Banks"
