"%d Review(s)","%d Calificación(es)"
"%s Review(s)","%s Calificación(es)"
"(Posted on %s)","(Publicado en %s)"
"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add New Review","Agregar nueva Calificación"
"Add Your Review","Dejá tu calificación acá"
"Administrator","Administrador"
"All Reviews","Todos los comentarios"
"All reviews of customer `%s`","Todos los comentarios `%s`"
"Allow guests to write reviews","Permitir a invitados escribir comentarios"
"Are you sure you want to do this?","¿Estás seguro de que querés hacer esto?"
"Are you sure?","¿Está seguro?"
"Average Customer Rating","Calificación promedio del cliente"
"Average Customer Rating:","Calificación promedio del cliente:"
"Back","Regresar"
"Back to Main Product Info","Regresar a la información principal del producto"
"Back to My Reviews","Regresar a Mis Reseñas"
"Back to Product Reviews","Regresar a las reseñas de los productos"
"Be the first to review this product","Calificá este producto"
"Created On","Creado en"
"Customer","Cliente"
"Customer Reviews","Calificaciones del cliente"
"Delete","Eliminar"
"Delete Review","Eliminar Calificación"
"Detailed Rating","Evaluación Detallada"
"Edit Review '%s'","Modificar Calificaciones '%s'"
"Guest","Invitado"
"How do you rate this product?","Calificá este producto"
"ID","ID"
"Manage Ratings","Gestión del Calificaciones"
"My Product Reviews","Mis comentarios de productos"
"My Recent Reviews","Mis reseñas recientes"
"Name","Nombre"
"Name In Store","Nombre en la tienda"
"New Review","Comentario Nuevo"
"Nickname","Apodo"
"Pending Reviews","Calificaciones pendientes"
"Pending reviews","Calificaciones pendientes"
"Pending reviews of customer `%s`","Calificaciones pendientes del cliente `%s`"
"Please select a product","Por favor seleccione un producto"
"Please select one of each of the ratings above","Por favor seleccione una por una de las calificaciones de arriba"
"Posted By","Publicado por"
"Price","Precio"
"Product","Producto"
"Product Name","Nombre del producto"
"Product Rating","Calificación del producto"
"Product Rating:","Calificación del producto:"
"Product Review (submitted on %s):","Reseña del producto (presentada en %s):"
"Product Reviews","Calificación del producto"
"Product SKU","No. Ref. (SKU) del producto"
"Qty","Cant."
"Rating:","Calificación:"
"Review","Calificación"
"Review Details","Detalles de la Calificación"
"Review by %s","Calificación por %s"
"Reviews and Ratings","Calificaciones"
"SKU","No. Ref. (SKU)"
"Save Review","Guardar Calificación"
"Status","Estatus"
"Submit Review","Enviar Calificación"
"Summary Rating","Resumen de la calificación"
"Summary of Review","Resumen de la Calificación"
"Summary of Your Review","Resumen de su Calificación"
"Summary of review","Resumen de la Calificación"
"Title","Título"
"Type","Tipo"
"Unable to post review. Please, try again later.","No fue posible enviar su Calificación. Por favor, intente más tarde."
"Update status","Actualizar estado"
"View All Reviews","Ver todas las Calificaciones"
"View Details","Ver detalles"
"Visible In","Visible en"
"Websites","Sitio Web"
"Write Your Own Review","Calificación"
"You have submitted no reviews.","Usted no ha escrito ninguna Calificación."
"You're reviewing:","Estas calificando:"
"Your Rating:","Tu calificación:"
"Your Review (submitted on %s):","Su Calificación (enviada el %s):"
"Your review has been accepted for moderation","Su Calificación ha sido aceptada para la moderación"
"OR","OR"
"Your review has been accepted for moderation.","Tu opinión ha sido aceptada."
